order_id,product,sales,region,customer_id,date
ORD001,Wireless Headphones,129.99,North,CUST001,2024-01-05
ORD002,Smart Watch,249.99,South,CUST002,2024-01-06
ORD003,Laptop Stand,49.99,East,CUST003,2024-01-07
ORD004,USB-C Hub,39.99,West,CUST001,2024-01-08
ORD005,Mechanical Keyboard,89.99,North,CUST004,2024-01-09
ORD006,Wireless Mouse,34.99,South,CUST005,2024-01-10
ORD007,Monitor Arm,79.99,East,CUST002,2024-01-11
ORD008,Webcam HD,59.99,West,CUST006,2024-01-12
ORD009,Desk Lamp,29.99,North,CUST007,2024-01-13
ORD010,Laptop Sleeve,19.99,South,CUST003,2024-01-14
ORD011,Wireless Headphones,129.99,East,CUST008,2024-02-01
ORD012,Smart Watch,249.99,West,CUST009,2024-02-02
ORD013,USB-C Hub,39.99,North,CUST001,2024-02-05
ORD014,Mechanical Keyboard,89.99,South,CUST010,2024-02-08
ORD015,Monitor Arm,79.99,East,CUST004,2024-02-12
ORD016,Webcam HD,59.99,North,CUST011,2024-02-15
ORD017,Desk Lamp,29.99,West,CUST012,2024-02-18
ORD018,Laptop Stand,49.99,South,CUST005,2024-02-20
ORD019,Wireless Mouse,34.99,North,CUST007,2024-03-01
ORD020,Laptop Sleeve,19.99,East,CUST013,2024-03-05
