order_id,customer_id,product,category,sales,quantity,region,date,discount,customer_type
ORD-001,CUST-101,Wireless Headphones,Electronics,129.99,1,North,2024-01-05,0.0,New
ORD-002,CUST-202,Running Shoes,Sports,89.99,2,South,2024-01-06,0.1,Returning
ORD-003,CUST-303,Python Cookbook,Books,34.99,1,East,2024-01-07,0.0,New
ORD-004,CUST-404,Coffee Maker,Kitchen,79.99,1,West,2024-01-08,0.05,Returning
ORD-005,CUST-505,Yoga Mat,Sports,45.99,1,North,2024-01-09,0.0,New
ORD-006,CUST-101,Bluetooth Speaker,Electronics,59.99,1,North,2024-01-10,0.0,Returning
ORD-007,CUST-606,Desk Lamp,Home,29.99,2,South,2024-01-11,0.15,New
ORD-008,CUST-707,Mechanical Keyboard,Electronics,149.99,1,East,2024-01-12,0.0,New
ORD-009,CUST-808,Protein Powder,Health,54.99,2,West,2024-01-13,0.1,Returning
ORD-010,CUST-909,Notebook Set,Stationery,19.99,3,North,2024-01-14,0.0,New
ORD-011,CUST-202,Smart Watch,Electronics,199.99,1,South,2024-01-15,0.05,Returning
ORD-012,CUST-110,Air Fryer,Kitchen,99.99,1,East,2024-01-16,0.0,New
ORD-013,CUST-111,Resistance Bands,Sports,24.99,2,West,2024-01-17,0.0,New
ORD-014,CUST-112,Mystery Novel,Books,14.99,1,North,2024-01-18,0.0,Returning
ORD-015,CUST-303,Webcam HD,Electronics,69.99,1,South,2024-01-19,0.1,Returning
ORD-016,CUST-114,Blender,Kitchen,59.99,1,East,2024-01-20,0.0,New
ORD-017,CUST-115,Hiking Boots,Sports,119.99,1,West,2024-01-21,0.05,New
ORD-018,CUST-116,Candle Set,Home,29.99,3,North,2024-01-22,0.0,New
ORD-019,CUST-404,USB-C Hub,Electronics,39.99,2,South,2024-01-23,0.0,Returning
ORD-020,CUST-118,Whey Protein,Health,49.99,1,East,2024-01-24,0.1,New
ORD-021,CUST-119,Gaming Mouse,Electronics,79.99,1,West,2024-02-01,0.0,New
ORD-022,CUST-505,Foam Roller,Sports,34.99,1,North,2024-02-02,0.0,Returning
ORD-023,CUST-121,Instant Pot,Kitchen,89.99,1,South,2024-02-03,0.15,New
ORD-024,CUST-122,Science Fiction Book,Books,12.99,2,East,2024-02-04,0.0,New
